City,State,System_Type,IES_Carbon (True),ML_Carbon (Pred),Carbon_Diff_%,IES_Cost (True),ML_Cost (Pred),Cost_Diff_%
Albuquerque,Newmexico,Elec,157504.32,158881.01390000022,0.8740673906596444,22143.94,23271.154099999992,5.09039538582562
Albuquerque,Newmexico,Gas,176570.55,171221.15175000028,-3.0296095526687252,21459.09,23657.921799999942,10.246621827859158
Atlanta,Georgia,Elec,146848.4,151530.6927499997,3.188521461588756,25937.5,26046.301750000013,0.41947662650607526
Atlanta,Georgia,Gas,156325.21,157018.23030000032,0.4433196027693319,22571.86,23041.700349999996,2.081531384653258
Baltimore,Maryland,Elec,187527.17,166363.45695000052,-11.285678256649154,38982.73,37217.870500000114,-4.5272855441368245
Baltimore,Maryland,Gas,158286.11,158754.00729999988,0.29560224835893373,36528.95,33990.4736500001,-6.949217949051083
Boston,Massachusetts,Elec,68771.12,103737.40315,50.8444288096515,11755.75,24402.55345000001,107.57972439019213
Boston,Massachusetts,Gas,161599.96,147729.7747000005,-8.583037582434729,57867.19,46580.79605000009,-19.50396062086289
Chicago,Illinois,Elec,94158.65,111083.7357499999,17.97507265662784,22711.37,24589.339500000056,8.268851680898411
Chicago,Illinois,Gas,141463.32,131925.86625000008,-6.741997678267361,19648.64,22303.25150000003,13.510408353962575
Denver,Colorado,Elec,176437.01,169077.6297000005,-4.171109168081853,22456.95,22968.65430000003,2.278601056688599
Denver,Colorado,Gas,189498.2,177880.60515000002,-6.130715146634635,20902.13,24079.10479999995,15.199287345356424
Detroit,Michigan,Elec,162637.35,154338.09245000037,-5.102922268470085,26871.8,25258.504099999947,-6.003676344718448
Detroit,Michigan,Gas,135594.23,147938.18445000032,9.10359861920401,18022.25,21717.62694999998,20.50452607193874
Duluth,Minnesota,Elec,211376.49,214842.10959999994,1.6395482771049643,34353.38,36734.63414999991,6.931644426254166
Duluth,Minnesota,Gas,272443.82,253383.7138000003,-6.995976711822539,46960.76,42754.84209999992,-8.956238996132262
Fairbanks,Alaska,Elec,185278.23,195088.28024999975,5.294766821768396,58894.51,53595.98114999989,-8.996643065712087
Fairbanks,Alaska,Gas,240359.1,231369.3922500006,-3.740115414810348,60405.61,55349.09984999995,-8.37092804790822
Helena,Montana,Elec,192684.18,194570.12344999993,0.9787744120975232,19893.63,22530.418399999948,13.254435716357179
Helena,Montana,Gas,204837.51,211488.25340000016,3.246838628335285,18794.94,21747.47464999996,15.709199656928735
Houston,Texas,Elec,204074.55,183992.82420000006,-9.840387152636097,21521.37,22505.140400000062,4.571132785691911
Houston,Texas,Gas,168983.13,177522.49509999994,5.0533831986660065,15051.18,20753.99875000003,37.889512649506756
Lasvegas,Nevada,Elec,133001.43,149514.60734999986,12.415789326475563,28901.48,29425.921100000083,1.8145821598066385
Lasvegas,Nevada,Gas,176268.95,169703.86119999966,-3.7244726311697813,34239.4,30777.11450000006,-10.111992324631682
Losangeles,California,Elec,124848.51,113306.2223500002,-9.245034362043885,47703.36,44775.91525000004,-6.136768458238494
Losangeles,California,Gas,91342.44,100090.45195000005,9.57716035393848,43576.61,43415.32655000009,-0.3701147243897771
Miami,Florida,Elec,249207.07,206500.17615000007,-17.137111659793575,35227.05,30503.321699999917,-13.409378020583857
Miami,Florida,Gas,63502.12,117370.93545000003,84.8299481182676,6566.92,18862.55649999995,187.23597211478062
Minneapolis,Minnesota,Elec,221800.95,215920.35140000004,-2.6512954971563323,36047.59,36421.538649999944,1.037374898016615
Minneapolis,Minnesota,Gas,251972.37,243067.5339999997,-3.5340525629854977,43733.99,39885.97040000011,-8.798693190353521
Newyork,Newyork,Elec,80807.14,92626.44940000019,14.626565672291072,39659.82,35506.76675000007,-10.471689609281967
Newyork,Newyork,Gas,101882.77,106044.35849999989,4.084683308080337,23493.37,28959.145100000078,23.265181197929795
Phoenix,Arizona,Elec,235905.29,220645.9534999994,-6.468416414062022,42749.84,39403.602599999955,-7.827485202283896
Phoenix,Arizona,Gas,197456.16,195097.98149999962,-1.1942795302007227,36723.28,35805.302500000034,-2.499715439361529
Sacramento,California,Elec,68623.03,86786.48834999985,26.468458693823134,35659.6,36188.946599999945,1.4844434598255343
Sacramento,California,Gas,113762.58,103613.36914999981,-8.921396517202925,36416.23,36164.58885000012,-0.6910137320636613
Sanfrancisco,California,Elec,119854.0,110019.13925000005,-8.205700894421504,47461.64,45469.97384999993,-4.19637026870557
Sanfrancisco,California,Gas,92369.44,97556.69330000001,5.615767834036897,45348.1,44972.04079999991,-0.8292722297077291
Seattle,Washington,Elec,80263.24,79253.60075000013,-1.257909909941184,21612.62,23378.098700000068,8.16873983811342
Seattle,Washington,Gas,53157.92,71842.44909999997,35.14909744399324,20373.78,22210.45574999998,9.014899297037566
